Variable,d,p,DND_M,Normal_M
SleepQuality,-0.6475166376070133,0.03775020691638423,3.234615384615385,3.6769230769230767
PhoneInterruptions,-0.5875148706509609,0.05570173475805196,1.8192307692307692,2.338461538461538
Focus_Composite,0.4534778571161099,0.12798262106094893,3.8259615384615384,3.5
Distracted,-0.44615479098725125,0.13367257130354826,2.1653846153846157,2.6192307692307697
Accomplished,0.41348708647026605,0.16181242311626692,3.746153846153846,3.534615384615385
Productivity_Composite,0.37202375750060235,0.20464144780829907,3.588461538461538,3.3923076923076922
Attention,0.2958020792820189,0.30717235517108393,3.5923076923076924,3.423076923076923
SleepDisturbed,-0.285771056760524,0.3231607301379623,1.1961538461538461,1.3884615384615384
Productive,0.272967626494907,0.3444461338162869,3.430769230769231,3.25
Focused,0.22796087627655542,0.4271492899098576,3.6961538461538463,3.534615384615385
Sleep_Composite,-0.22722111370706075,0.428610949012864,4.019230769230769,4.134615384615385
Stressed,0.1855344104628652,0.516188290199029,2.7576923076923077,2.542307692307692
Stress_Composite,0.1843230423875169,0.5188826543083707,2.5717948717948715,2.4076923076923076
Overwhelmed,0.18146027985662674,0.525282582442202,2.630769230769231,2.4
InControl,-0.10810445233664487,0.7035316108445713,3.6730769230769225,3.7192307692307693
